Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
26 Jul 2024,BY TRANSFER-UPI/CR/447723293981/ROHIT T/HDFC/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,4660.2,14660.2
22 Sep 2024,BY TRANSFER-UPI/CR/497546374344/MS SANJE/KKBK/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,3988.09,18648.29
24 Sep 2024,BY TRANSFER-UPI/CR/457812481678/MS SANJE/SBIN/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,628.2,19276.49
25 Jul 2024,TO TRANSFER-UPI/DR/489047368809/SAGAR MO/KKBK/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,4372.36,,14904.13
6 Aug 2024,BY TRANSFER-UPI/CR/406610247446/ROHIT T/ICIC/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,62.0,14966.13
15 Jul 2024,TO TRANSFER-UPI/DR/464561503955/SAMEER S/SBIN/write2same/UPI--,TRANSFER TO 8974521398,1053.65,,13912.48
25 Aug 2024,TO TRANSFER-UPI/DR/404318497331/PRIYA K/IDIB/rahuldixit/UPI--,TRANSFER TO 7382910045,620.46,,13292.02
1 Jul 2024,TO TRANSFER-UPI/DR/405725093549/PRIYA K/IDIB/spawar3290/UPI--,TRANSFER TO 4897732162091,4618.2,,8673.82
1 Sep 2024,BY TRANSFER-UPI/CR/410471761432/PRIYA K/HDFC/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,4597.07,13270.89
1 Aug 2024,BY TRANSFER-UPI/CR/411674035943/PRIYA K/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,3896.08,17166.97
11 Aug 2024,BY TRANSFER-UPI/CR/488872989508/ANITA P/ICIC/write2same/Dr Re--,TRANSFER FROM 8974521398,,4959.34,22126.31
18 Jul 2024,BY TRANSFER-UPI/CR/482281830456/MS SANJE/HDFC/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,2879.37,25005.68
23 Aug 2024,BY TRANSFER-UPI/CR/458804272559/SAMEER S/ICIC/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,1199.74,26205.42
29 Aug 2024,BY TRANSFER-UPI/CR/413713396405/SAMEER S/ICIC/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,3854.5,30059.92
2 Sep 2024,TO TRANSFER-UPI/DR/405188466909/ANITA P/KKBK/spawar3290/UPI--,TRANSFER TO 4897732162091,2221.28,,27838.64
27 Sep 2024,TO TRANSFER-UPI/DR/441973406664/SAMEER S/ICIC/write2same/UPI--,TRANSFER TO 8974521398,70.17,,27768.47
30 Sep 2024,BY TRANSFER-UPI/CR/401847478380/SAMEER S/KKBK/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,3099.12,30867.59
14 Sep 2024,TO TRANSFER-UPI/DR/411133002564/MS SANJE/IDIB/spawar3290/UPI--,TRANSFER TO 4897732162091,3971.91,,26895.68
27 Jul 2024,TO TRANSFER-UPI/DR/402115641718/RAHUL D/KKBK/spawar3290/UPI--,TRANSFER TO 8974521398,2055.2,,24840.48
11 Aug 2024,BY TRANSFER-UPI/CR/460936339891/RAHUL D/HDFC/write2same/Dr Re--,TRANSFER FROM 8974521398,,3084.53,27925.01
24 Aug 2024,TO TRANSFER-UPI/DR/450371651222/RAHUL D/IDIB/spawar3290/UPI--,TRANSFER TO 4897690162095,2964.01,,24961.0
16 Jul 2024,TO TRANSFER-UPI/DR/469097884379/SAGAR MO/ICIC/spawar3290/UPI--,TRANSFER TO 7382910045,2751.69,,22209.31
21 Sep 2024,TO TRANSFER-UPI/DR/499028787440/RAHUL D/ICIC/anitapawar/UPI--,TRANSFER TO 4897690162095,4529.52,,17679.79
9 Sep 2024,TO TRANSFER-UPI/DR/437406874025/SAMEER S/KKBK/write2same/UPI--,TRANSFER TO 4897690162095,3696.14,,13983.65
11 Sep 2024,TO TRANSFER-UPI/DR/406288522651/MS SANJE/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,2915.22,,11068.43
17 Aug 2024,TO TRANSFER-UPI/DR/467871689125/SAMEER S/SBIN/spawar3290/UPI--,TRANSFER TO 9137022807,1610.53,,9457.9
18 Jul 2024,TO TRANSFER-UPI/DR/430900278267/ROHIT T/HDFC/spawar3290/UPI--,TRANSFER TO 4897732162091,4665.19,,4792.71
10 Aug 2024,BY TRANSFER-UPI/CR/445503878761/MS SANJE/IDIB/write2same/Dr Re--,TRANSFER FROM 4897690162095,,3790.69,8583.4
5 Aug 2024,BY TRANSFER-UPI/CR/409274489240/SAGAR MO/IDIB/write2same/Dr Re--,TRANSFER FROM 4897690162095,,3747.08,12330.48
24 Sep 2024,TO TRANSFER-UPI/DR/430470116803/SAMEER S/IDIB/spawar3290/UPI--,TRANSFER TO 4897690162095,503.51,,11826.97
4 Jul 2024,BY TRANSFER-UPI/CR/462700022921/PRIYA K/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,3875.23,15702.2
12 Jul 2024,TO TRANSFER-UPI/DR/434814347530/MS SANJE/ICIC/rohit@okhdfc/UPI--,TRANSFER TO 8974521398,1714.46,,13987.74
30 Sep 2024,TO TRANSFER-UPI/DR/417143723391/MS SANJE/IDIB/rahuldixit/UPI--,TRANSFER TO 8974521398,4198.7,,9789.04
13 Jul 2024,TO TRANSFER-UPI/DR/462742199103/ROHIT T/SBIN/anitapawar/UPI--,TRANSFER TO 4897690162095,1872.04,,7917.0
2 Jul 2024,BY TRANSFER-UPI/CR/451113518919/ROHIT T/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,3105.22,11022.22
10 Sep 2024,BY TRANSFER-UPI/CR/440103309087/SAMEER S/HDFC/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,2199.29,13221.51
17 Aug 2024,BY TRANSFER-UPI/CR/437140766241/PRIYA K/SBIN/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,3053.58,16275.09
1 Sep 2024,TO TRANSFER-UPI/DR/463633432393/PRIYA K/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 4897690162095,114.47,,16160.62
22 Jul 2024,TO TRANSFER-UPI/DR/484633497396/SAGAR MO/IDIB/rahuldixit/UPI--,TRANSFER TO 8974521398,3648.74,,12511.88
4 Jul 2024,TO TRANSFER-UPI/DR/459713713015/SAGAR MO/IDIB/spawar3290/UPI--,TRANSFER TO 4897690162095,792.39,,11719.49
2 Sep 2024,TO TRANSFER-UPI/DR/457076175128/ANITA P/HDFC/anitapawar/UPI--,TRANSFER TO 8974521398,2631.57,,9087.92
6 Jul 2024,TO TRANSFER-UPI/DR/473315557302/MS SANJE/ICIC/write2same/UPI--,TRANSFER TO 8974521398,3975.75,,5112.17
21 Aug 2024,TO TRANSFER-UPI/DR/417818500870/PRIYA K/SBIN/rahuldixit/UPI--,TRANSFER TO 4897732162091,3204.63,,1907.54
14 Sep 2024,BY TRANSFER-UPI/CR/464654943741/MS SANJE/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,383.7,2291.24
28 Aug 2024,BY TRANSFER-UPI/CR/450662552298/ROHIT T/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,3897.86,6189.1
31 Jul 2024,TO TRANSFER-UPI/DR/460987457702/SAGAR MO/ICIC/anitapawar/UPI--,TRANSFER TO 4897732162091,142.73,,6046.37
12 Aug 2024,TO TRANSFER-UPI/DR/402765600787/SAGAR MO/KKBK/spawar3290/UPI--,TRANSFER TO 7382910045,2059.24,,3987.13
23 Aug 2024,BY TRANSFER-UPI/CR/437023243696/RAHUL D/KKBK/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,3900.4,7887.53
1 Aug 2024,BY TRANSFER-UPI/CR/431215702135/ROHIT T/HDFC/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,3783.28,11670.81
17 Sep 2024,BY TRANSFER-UPI/CR/478164402780/ANITA P/ICIC/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,2455.4,14126.21
21 Jul 2024,BY TRANSFER-UPI/CR/458801416352/ANITA P/IDIB/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,2762.96,16889.17
26 Aug 2024,BY TRANSFER-UPI/CR/436215785835/RAHUL D/SBIN/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,1958.2,18847.37
24 Sep 2024,TO TRANSFER-UPI/DR/484013000150/SAGAR MO/SBIN/rahuldixit/UPI--,TRANSFER TO 8974521398,4550.08,,14297.29
17 Jul 2024,BY TRANSFER-UPI/CR/434218661522/MS SANJE/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,423.98,14721.27
17 Jul 2024,BY TRANSFER-UPI/CR/416072932413/ROHIT T/SBIN/write2same/Dr Re--,TRANSFER FROM 9137022807,,2320.15,17041.42
22 Aug 2024,BY TRANSFER-UPI/CR/479647644566/SAMEER S/SBIN/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,668.32,17709.74
12 Aug 2024,TO TRANSFER-UPI/DR/427567339573/ANITA P/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 9137022807,2855.14,,14854.6
8 Jul 2024,BY TRANSFER-UPI/CR/404724784429/SAGAR MO/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,1685.1,16539.7
26 Jul 2024,TO TRANSFER-UPI/DR/409643507212/SAGAR MO/IDIB/write2same/UPI--,TRANSFER TO 4897732162091,596.59,,15943.11
25 Aug 2024,TO TRANSFER-UPI/DR/478775180864/PRIYA K/KKBK/rohit@okhdfc/UPI--,TRANSFER TO 9137022807,1406.32,,14536.79
9 Sep 2024,TO TRANSFER-UPI/DR/428524249032/ROHIT T/KKBK/spawar3290/UPI--,TRANSFER TO 9137022807,1160.46,,13376.33
10 Jul 2024,BY TRANSFER-UPI/CR/418335147337/ANITA P/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,1389.81,14766.14
20 Sep 2024,TO TRANSFER-UPI/DR/438995943874/RAHUL D/SBIN/anitapawar/UPI--,TRANSFER TO 4897732162091,2509.16,,12256.98
26 Sep 2024,TO TRANSFER-UPI/DR/454669455608/PRIYA K/HDFC/write2same/UPI--,TRANSFER TO 8974521398,3995.57,,8261.41
24 Sep 2024,BY TRANSFER-UPI/CR/458705322401/MS SANJE/IDIB/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,429.93,8691.34
4 Aug 2024,TO TRANSFER-UPI/DR/426562499022/RAHUL D/KKBK/rohit@okhdfc/UPI--,TRANSFER TO 9137022807,3679.46,,5011.88
18 Aug 2024,TO TRANSFER-UPI/DR/470938863862/ANITA P/ICIC/write2same/UPI--,TRANSFER TO 7382910045,4840.23,,171.65
30 Aug 2024,BY TRANSFER-UPI/CR/476265806113/RAHUL D/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,4575.51,4747.16
5 Jul 2024,TO TRANSFER-UPI/DR/427706929499/MS SANJE/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,506.21,,4240.95
24 Sep 2024,TO TRANSFER-UPI/DR/424717389049/SAMEER S/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,4486.3,,-245.35
17 Sep 2024,TO TRANSFER-UPI/DR/420629025944/ANITA P/ICIC/anitapawar/UPI--,TRANSFER TO 8974521398,4225.86,,-4471.21
16 Sep 2024,TO TRANSFER-UPI/DR/486619261663/RAHUL D/KKBK/rahuldixit/UPI--,TRANSFER TO 4897732162091,1962.51,,-6433.72
30 Aug 2024,BY TRANSFER-UPI/CR/436299173334/ANITA P/KKBK/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,4339.38,-2094.34
21 Jul 2024,TO TRANSFER-UPI/DR/486343713884/SAMEER S/IDIB/rahuldixit/UPI--,TRANSFER TO 4897690162095,1960.87,,-4055.21
31 Aug 2024,TO TRANSFER-UPI/DR/417427049564/SAGAR MO/HDFC/rahuldixit/UPI--,TRANSFER TO 4897732162091,4922.55,,-8977.76
23 Jul 2024,BY TRANSFER-UPI/CR/485620591438/SAGAR MO/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,325.78,-8651.98
1 Jul 2024,BY TRANSFER-UPI/CR/453290220827/SAMEER S/KKBK/write2same/Dr Re--,TRANSFER FROM 8974521398,,252.81,-8399.17
24 Jul 2024,TO TRANSFER-UPI/DR/492040402166/RAHUL D/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,3319.48,,-11718.65
22 Sep 2024,BY TRANSFER-UPI/CR/437389389837/SAGAR MO/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,3451.64,-8267.01
16 Aug 2024,BY TRANSFER-UPI/CR/471988215179/ANITA P/SBIN/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,2066.67,-6200.34
17 Sep 2024,BY TRANSFER-UPI/CR/476921036657/SAGAR MO/IDIB/write2same/Dr Re--,TRANSFER FROM 9137022807,,1985.77,-4214.57
20 Jul 2024,TO TRANSFER-UPI/DR/435496186676/ROHIT T/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 4897690162095,4727.84,,-8942.41
3 Sep 2024,BY TRANSFER-UPI/CR/476534466556/SAGAR MO/HDFC/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,2003.0,-6939.41
5 Jul 2024,BY TRANSFER-UPI/CR/476258152856/ROHIT T/SBIN/write2same/Dr Re--,TRANSFER FROM 7382910045,,4430.19,-2509.22
5 Sep 2024,TO TRANSFER-UPI/DR/441468835520/SAMEER S/IDIB/anitapawar/UPI--,TRANSFER TO 7382910045,3085.56,,-5594.78
19 Aug 2024,BY TRANSFER-UPI/CR/430672507019/SAMEER S/SBIN/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,3833.76,-1761.02
21 Aug 2024,TO TRANSFER-UPI/DR/435524786748/ROHIT T/HDFC/anitapawar/UPI--,TRANSFER TO 4897690162095,3256.92,,-5017.94
17 Sep 2024,TO TRANSFER-UPI/DR/404607899207/MS SANJE/ICIC/spawar3290/UPI--,TRANSFER TO 8974521398,2823.83,,-7841.77
15 Jul 2024,TO TRANSFER-UPI/DR/475955924409/RAHUL D/SBIN/spawar3290/UPI--,TRANSFER TO 4897732162091,3896.37,,-11738.14
24 Sep 2024,BY TRANSFER-UPI/CR/451224886803/PRIYA K/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 4897690162095,,1840.92,-9897.22
18 Jul 2024,BY TRANSFER-UPI/CR/404531777717/SAGAR MO/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,4065.21,-5832.01
21 Aug 2024,BY TRANSFER-UPI/CR/429442803041/SAMEER S/SBIN/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,2650.84,-3181.17
22 Aug 2024,BY TRANSFER-UPI/CR/496419079389/SAGAR MO/KKBK/write2same/Dr Re--,TRANSFER FROM 4897732162091,,4818.28,1637.11
29 Aug 2024,TO TRANSFER-UPI/DR/455952696147/MS SANJE/IDIB/spawar3290/UPI--,TRANSFER TO 9137022807,2024.57,,-387.46
11 Sep 2024,BY TRANSFER-UPI/CR/434045591498/ANITA P/IDIB/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,1208.64,821.18
2 Aug 2024,TO TRANSFER-UPI/DR/426260578240/ROHIT T/HDFC/anitapawar/UPI--,TRANSFER TO 9137022807,477.19,,343.99
