Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
1 Jan 2024,BY TRANSFER-UPI/CR/403758330676/SHASHANK/HDFC/barclays@salary/Salary Credit,TRANSFER FROM 4897732162091,,60000.0,65000.0
1 Jan 2024,TO TRANSFER-UPI/DR/422508959472/SHASHANK/HDFC/netflix@okhdfc/Netflix Subscription,TRANSFER TO 4897732162091,499.0,,124501.0
3 Jan 2024,TO TRANSFER-UPI/DR/487282994177/SHASHANK/HDFC/primevideo@okicici/Amazon Prime Subscription,TRANSFER TO 4897732162091,179.0,,124322.0
1 Feb 2024,BY TRANSFER-UPI/CR/409965469902/SHASHANK/HDFC/barclays@salary/Salary Credit,TRANSFER FROM 4897732162091,,60000.0,125000.0
1 Feb 2024,TO TRANSFER-UPI/DR/436697083347/SHASHANK/HDFC/netflix@okhdfc/Netflix Subscription,TRANSFER TO 4897732162091,499.0,,123823.0
3 Feb 2024,TO TRANSFER-UPI/DR/454497840697/SHASHANK/HDFC/primevideo@okicici/Amazon Prime Subscription,TRANSFER TO 4897732162091,179.0,,123644.0
10 Feb 2024,TO TRANSFER-UPI/DR/448639699236/SHASHANK/HDFC/zomato@okaxis/Snack Time,TRANSFER TO 4897732162091,54.86,,-50276.79
10 Feb 2024,TO TRANSFER-UPI/DR/487948132977/SHASHANK/HDFC/zomato@okaxis/Snack Time,TRANSFER TO 4897732162091,58.52,,-50221.93
10 Feb 2024,TO TRANSFER-UPI/DR/476607999812/SHASHANK/HDFC/swiggy@okhdfc/Snack Time,TRANSFER TO 4897732162091,39.22,,-50114.88
10 Feb 2024,TO TRANSFER-UPI/DR/449196998230/SHASHANK/HDFC/swiggy@okhdfc/Snack Time,TRANSFER TO 4897732162091,39.11,,-50075.66
10 Feb 2024,TO TRANSFER-UPI/DR/427926859629/SHASHANK/HDFC/swiggy@okhdfc/Snack Time,TRANSFER TO 4897732162091,48.53,,-50163.41
10 Feb 2024,TO TRANSFER-UPI/DR/497538715774/SHASHANK/HDFC/zomato@okaxis/Snack Time,TRANSFER TO 4897732162091,20.27,,-50036.55
12 Mar 2024,TO TRANSFER-UPI/DR/444669343289/SHASHANK/HDFC/myntra@okhdfc/Late Night Purchase,TRANSFER TO 4897732162091,437.49,,-50714.28
12 Mar 2024,TO TRANSFER-UPI/DR/493927748913/SHASHANK/HDFC/paytm@okhdfc/UPI,TRANSFER TO 4897732162091,306.59,,-61430.45
21 Mar 2024,TO TRANSFER-UPI/DR/487507361278/SHASHANK/HDFC/maple@okhdfc/Large UPI Transfer,TRANSFER TO 4897732162091,64063.99,,-50016.28
25 Mar 2024,TO TRANSFER-UPI/DR/435019837040/SHASHANK/HDFC/flipkart@okaxis/Late Night Purchase,TRANSFER TO 4897732162091,621.84,,-51336.12
27 Mar 2024,TO TRANSFER-UPI/DR/491848976536/SHASHANK/HDFC/flipkart@okaxis/UPI,TRANSFER TO 4897732162091,1968.38,,-58189.3
2 Apr 2024,TO TRANSFER-UPI/DR/435777230135/SHASHANK/HDFC/croma@okicici/Large UPI Transfer,TRANSFER TO 4897732162091,62912.57,,60731.43
7 Apr 2024,TO TRANSFER-UPI/DR/403342204938/SHASHANK/HDFC/swiggy@okhdfc/UPI,TRANSFER TO 4897732162091,337.22,,-53368.84
9 Apr 2024,TO TRANSFER-UPI/DR/483801978097/SHASHANK/HDFC/maple@okhdfc/Large UPI Transfer,TRANSFER TO 4897732162091,46683.72,,14047.71
18 Apr 2024,TO TRANSFER-UPI/DR/411837387345/SHASHANK/HDFC/amazon@okicici/UPI,TRANSFER TO 4897732162091,2934.56,,-61123.86
22 Apr 2024,TO TRANSFER-UPI/DR/466460388618/SHASHANK/HDFC/write2same/UPI,TRANSFER TO 4897732162091,2852.08,,-56220.92
30 Apr 2024,TO TRANSFER-UPI/DR/431820867454/SHASHANK/HDFC/amazon@okicici/Late Night Purchase,TRANSFER TO 4897732162091,534.93,,-51871.05
25 Jun 2024,TO TRANSFER-UPI/DR/446677230198/SHASHANK/HDFC/weirdstore@okicici/Suspicious Merchant,TRANSFER TO 4897732162091,517.09,,-52388.14
21 Jul 2024,TO TRANSFER-UPI/DR/407587340309/SHASHANK/HDFC/weirdstore@okicici/Suspicious Merchant,TRANSFER TO 4897732162091,643.48,,-53031.62
